iter	RMSE
158	152358.9575
159	152176.5481
160	151723.2007
161	151405.0512
162	150904.2855
163	150428.6765
164	150264.0499
165	149854.8988
166	149582.4776
167	148990.3548
168	148768.0322
169	148620.9824
170	148108.753
171	147989.348
172	147889.217
173	147706.4249
174	147490.0077
175	146943.3283
176	146643.3262
177	146359.0874
178	146262.0506
179	146015.6488
180	145891.6086
181	145713.0194
182	145581.2202
183	144928.1013
184	144772.5214
185	144634.0595
186	144497.9466
187	144409.6231
188	144244.5998
189	143714.17
190	143065.8489
191	142965.7195
192	142470.0857
193	142397.8618
194	142295.4454
195	142055.0093
196	141937.6488
197	141815.6497
198	141466.0936
199	141286.3091
200	140785.8462
201	140558.3426
202	140053.6002
203	139515.8661
204	139422.7106
205	139348.9012
206	139250.6128
207	139186.0098
208	138751.102
209	138667.1259
210	138611.3431
211	138318.6757
212	138105.4051
213	138024.9184
214	137966.5037
215	137444.5541
216	136984.6663
217	136927.0538
218	136713.7721
219	136650.655
220	136574.0601
221	136123.2429
222	135782.419
223	135722.8975
224	135671.1229
225	135613.9727
226	135432.1154
227	134872.3634
228	134558.6018
229	134167.3917
230	134109.1091
231	133601.6262
232	133272.5655
233	133230.4563
234	133174.954
235	133134.5416
236	133081.3551
237	132720.3831
238	132682.0596
239	132644.5409
240	132252.9025
241	131979.5125
242	131942.8484
243	131894.5893
244	131847.6227
245	131398.3528
246	130903.2301
247	130706.9439
248	130304.3057
249	130004.0372
250	129970.0148
251	129936.661
252	129669.5694
253	129574.0001
254	129311.6026
255	129279.9969
256	129238.5786
257	129198.2681
258	128852.02
259	128461.4898
260	128003.7182
261	127875.9567
262	127576.7928
263	127231.6815
264	126993.3004
265	126962.0856
266	126680.9387
267	126390.3102
268	126130.443
269	126093.6211
270	125791.7707
271	125341.0731
272	125305.5955
273	125066.6215
274	125032.1461
275	124998.5609
276	124492.7968
277	124018.2135
278	123444.9627
279	123043.8788
280	123017.9502
281	122983.2443
282	122952.4168
283	122618.8876
284	122326.9721
285	121873.015
286	121822.0975
287	121774.3183
288	121260.5873
289	121046.1507
290	120738.4119
291	120709.9439
292	120317.9441
293	119953.4153
294	119930.8238
295	119634.1707
296	119288.6876
297	118801.2901
298	118608.7128
299	118323.8388
300	118206.5067
301	118132.4181
302	118091.2448
303	117794.216
304	117359.1587
305	117143.555
306	117004.626
307	116575.8344
308	116247.904
309	115937.501
310	115664.0204
311	115357.1881
312	115213.8405
313	115047.5269
314	114641.3078
315	114486.9769
316	114191.9442
317	113792.5266
318	113613.1027
319	113418.9939
320	113394.019
321	113214.7959
322	112807.294
323	112608.1527
324	112289.437
325	112097.7588
326	111814.4026
327	111539.4105
328	111452.5953
329	111189.3746
330	110884.7575
331	110729.161
332	110487.3798
333	110224.4923
334	109976.1068
335	109927.312
336	109608.5037
337	109169.2403
338	108823.4659
339	108589.227
340	108555.9289
341	108502.8293
342	108277.6738
343	108142.5213
344	108019.319
345	107861.916
346	107562.0813
347	107519.2138
348	107298.9048
349	107079.6063
350	106902.907
351	106713.1669
352	106627.4623
353	106464.9304
354	106284.54
355	105957.3384
356	105787.7121
357	105624.6336
358	105432.0504
359	105126.1329
360	104879.6695
361	104735.185
362	104361.8735
363	104146.4419
364	104106.9452
365	103916.5508
366	103715.8399
367	103324.1824
368	103019.6293
369	102858.9729
370	102545.394
371	102182.5215
372	101963.5061
373	101945.3486
374	101791.7227
375	101548.9899
376	101331.9078
377	101306.1354
378	101069.983
379	101029.303
380	100944.9807
381	100758.5005
382	100736.408
383	100511.1473
384	100307.5444
385	100159.1323
386	99919.6164
387	99852.57695
388	99835.01383
389	99696.96511
390	99667.14187
391	99437.96409
392	99266.25118
393	99004.84772
394	98747.24206
395	98539.89676
396	98370.46529
397	98203.24185
398	97987.95579
399	97971.61495
400	97955.73614
401	97759.46767
402	97650.61102
403	97521.18013
404	97342.94726
405	97224.93867
406	97038.82251
407	96896.28164
408	96707.43827
409	96536.86597
410	96410.3445
411	96242.50669
412	96034.38357
413	95902.13615
414	95766.65756
415	95515.21045
416	95369.05967
417	95352.33864
418	95190.8918
419	95178.35484
420	95164.3634
421	95000.8343
422	94843.38075
423	94679.15128
424	94567.83744
425	94553.71005
426	94357.44879
427	94107.67663
428	94088.90855
429	93881.33262
430	93801.04113
431	93675.64204
432	93533.97152
433	93405.52746
434	93308.45772
435	93105.15531
436	92949.29294
437	92930.93934
438	92919.49067
439	92703.82026
440	92639.63725
441	92527.67795
442	92517.6017
443	92419.28977
444	92204.32635
445	92194.43464
446	92102.91413
447	91943.12583
448	91779.19071
449	91577.31115
450	91388.2747
451	91375.39346
452	91232.70597
453	91220.20617
454	91203.19823
455	91099.82378
456	90889.6709
457	90661.41169
458	90567.28354
459	90513.99161
460	90503.13535
461	90312.66017
462	90296.05864
463	90190.12502
464	89992.81542
465	89895.33676
466	89885.59742
467	89869.47945
468	89622.39399
469	89469.62646
470	89242.05255
471	89131.19698
472	89014.73935
473	88818.63574
474	88686.32124
475	88507.15546
476	88387.41826
477	88158.74911
478	88086.93277
479	88038.88997
480	87939.00664
481	87806.26436
482	87641.62475
483	87460.63736
484	87278.80641
485	87035.68421
486	86981.94845
487	86771.20709
488	86628.36116
489	86459.6459
490	86257.78359
491	86102.70625
492	85900.22665
493	85816.41392
494	85659.22052
495	85459.0913
496	85317.85631
497	85141.85632
498	85025.5871
499	84944.26996
500	84833.12737
501	84716.20162
502	84542.17193
503	84358.5598
504	84150.5419
505	84007.81857
506	83920.57405
507	83747.47144
508	83737.66141
509	83628.15812
510	83436.22997
511	83251.42434
512	83141.33891
513	82945.99201
514	82764.45585
515	82667.15129
516	82502.11552
517	82346.64655
518	82171.14542
519	82008.09773
520	81918.21397
521	81872.01669
522	81772.34405
523	81765.03648
524	81651.50543
525	81634.51198
526	81409.23061
527	81350.15689
528	81189.19168
529	81055.02843
530	80941.97193
531	80782.9211
532	80672.57835
533	80588.11246
534	80463.03535
535	80301.7047
536	80150.85121
537	80136.90945
538	79926.78111
539	79770.34916
540	79559.35158
541	79365.56312
542	79290.71546
543	79151.84467
544	79069.84165
545	78942.53319
546	78793.64087
547	78633.043
548	78466.12798
549	78338.93491
550	78241.93812
551	78228.67687
552	78048.65985
553	77962.80893
554	77869.56806
555	77780.32995
556	77619.68635
557	77459.32546
558	77355.87147
559	77349.58014
560	77223.55698
561	77092.24948
562	76934.00676
563	76819.43626
564	76701.97788
565	76533.53433
566	76422.94548
567	76297.06609
568	76241.66976
569	76175.07305
570	76077.81272
571	76029.61794
572	75934.64887
573	75793.3553
574	75671.10265
575	75560.87435
576	75413.85803
577	75245.49796
578	75229.39491
579	75066.12146
580	74955.08436
581	74841.98842
582	74761.83844
583	74678.54537
584	74566.99606
585	74459.37823
586	74261.86384
587	74160.46165
588	74073.17734
589	74009.50428
590	73964.0552
591	73905.36979
592	73761.56216
593	73618.33383
594	73609.25992
595	73512.88004
596	73482.72437
597	73474.20736
598	73361.48159
599	73199.65455
600	73073.42615
601	72970.8023
602	72938.83925
603	72803.9512
604	72789.39773
605	72710.57779
606	72638.71149
607	72498.77242
608	72432.37342
609	72304.27121
610	72122.6668
611	72007.58094
612	72002.43077
613	71874.96711
614	71767.12927
615	71755.5843
616	71688.01306
617	71590.4335
618	71580.97088
619	71573.58442
620	71508.50181
621	71503.87283
622	71349.53928
623	71208.8629
624	71122.24627
625	71053.71359
626	70933.34758
627	70868.31546
628	70735.9461
629	70577.65471
630	70500.69376
631	70407.91486
632	70305.66581
633	70243.0662
634	70096.95556
635	70037.52631
636	69944.26393
637	69857.54748
638	69802.52905
639	69644.94898
640	69542.40435
641	69464.46171
642	69401.79089
